antecedents,consequents,support,confidence
"frozenset({'c_misdemeanor', 'juv_fel=0', 'n_recidive', 'male'})",frozenset({'risk_low'}),0.111,0.804
"frozenset({'juv_fel=0', 'priors_Few', 'male', 'white'})",frozenset({'risk_low'}),0.127,0.8
"frozenset({'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.156,0.798
"frozenset({'priors_Many', 'c_felony', 'recidive'})",frozenset({'risk_high'}),0.101,0.796
"frozenset({'priors_Few', 'male', 'white'})",frozenset({'risk_low'}),0.128,0.794
"frozenset({'priors_No', 'juv_fel=0', 'male'})",frozenset({'risk_low'}),0.161,0.792
"frozenset({'priors_No', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.161,0.792
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.161,0.792
"frozenset({'priors_No', 'male'})",frozenset({'risk_low'}),0.161,0.792
"frozenset({'juv_fel=0', 'priors_Few', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.155,0.792
"frozenset({'n_recidive', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),0.111,0.792
"frozenset({'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.219,0.789
frozenset({'priors_No'}),frozenset({'risk_low'}),0.219,0.789
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),0.219,0.789
"frozenset({'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.219,0.789
"frozenset({'priors_Few', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.156,0.787
"frozenset({'juv_fel=0', 'juv_misd=0', 'male', 'white'})",frozenset({'risk_low'}),0.229,0.782
"frozenset({'juv_fel=0', 'priors_Few', 'white'})",frozenset({'risk_low'}),0.158,0.78
"frozenset({'juv_fel=0', 'priors_Few', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.188,0.779
"frozenset({'priors_Many', 'male', 'recidive'})",frozenset({'risk_high'}),0.115,0.779
"frozenset({'male', 'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),0.144,0.779
"frozenset({'priors_Many', 'recidive'})",frozenset({'risk_high'}),0.129,0.779
"frozenset({'juv_fel=0', 'n_recidive', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.282,0.777
"frozenset({'juv_fel=0', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.373,0.776
"frozenset({'black', 'priors_Many', 'c_felony'})",frozenset({'risk_high'}),0.1,0.776
"frozenset({'priors_Few', 'white'})",frozenset({'risk_low'}),0.159,0.775
"frozenset({'juv_misd=0', 'male', 'white'})",frozenset({'risk_low'}),0.23,0.774
"frozenset({'priors_Few', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.189,0.773
"frozenset({'juv_fel=0', 'male', 'white'})",frozenset({'risk_low'}),0.232,0.771
"frozenset({'n_recidive', 'juv_misd=0', 'male', 'priors_Few'})",frozenset({'risk_low'}),0.145,0.771
"frozenset({'juv_fel=0', 'priors_Few', 'n_recidive'})",frozenset({'risk_low'}),0.191,0.769
"frozenset({'black', 'priors_Many'})",frozenset({'risk_high'}),0.131,0.769
"frozenset({'juv_fel=0', 'n_recidive', 'male', 'priors_Few'})",frozenset({'risk_low'}),0.147,0.769
"frozenset({'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.375,0.769
"frozenset({'black', 'priors_Many', 'male'})",frozenset({'risk_high'}),0.119,0.769
"frozenset({'male', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.283,0.768
"frozenset({'juv_fel=0', 'c_felony', 'n_recidive', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),0.118,0.768
"frozenset({'juv_fel=0', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.293,0.766
"frozenset({'juv_fel=0', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.285,0.764
"frozenset({'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),0.377,0.764
"frozenset({'juv_fel=0', 'Age (decade)_30', 'n_recidive'})",frozenset({'risk_low'}),0.102,0.764
"frozenset({'Age (decade)_30', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.1,0.763
"frozenset({'male', 'white'})",frozenset({'risk_low'}),0.234,0.762
"frozenset({'priors_Few', 'n_recidive'})",frozenset({'risk_low'}),0.192,0.761
"frozenset({'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.295,0.761
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.119,0.76
"frozenset({'juv_fel=0', 'juv_misd=0', 'Age (decade)_40'})",frozenset({'risk_low'}),0.104,0.76
"frozenset({'priors_Many', 'juv_fel=0', 'recidive'})",frozenset({'risk_high'}),0.111,0.759
"frozenset({'priors_Few', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.148,0.759
"frozenset({'juv_fel=0', 'white'})",frozenset({'risk_low'}),0.298,0.757
"frozenset({'juv_fel=0', 'priors_Few', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.12,0.756
"frozenset({'male', 'juv_fel=0', 'c_felony', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.172,0.754
frozenset({'n_recidive'}),frozenset({'risk_low'}),0.379,0.754
"frozenset({'juv_fel=0', 'Age (decade)_40'})",frozenset({'risk_low'}),0.104,0.753
"frozenset({'priors_Many', 'juv_misd=0', 'recidive'})",frozenset({'risk_high'}),0.104,0.751
"frozenset({'male', 'n_recidive'})",frozenset({'risk_low'}),0.286,0.751
frozenset({'white'}),frozenset({'risk_low'}),0.299,0.75
"frozenset({'Age (decade)_30', 'n_recidive'})",frozenset({'risk_low'}),0.102,0.749
"frozenset({'juv_fel=0', 'c_felony', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.219,0.748
"frozenset({'juv_fel=0', 'priors_Few', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.114,0.748
"frozenset({'black', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_high'}),0.111,0.748
"frozenset({'priors_Few', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.121,0.747
"frozenset({'juv_misd=0', 'n_recidive', 'c_felony', 'male'})",frozenset({'risk_low'}),0.173,0.746
"frozenset({'priors_No', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),0.113,0.742
"frozenset({'priors_No', 'juv_fel=0', 'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),0.113,0.742
"frozenset({'priors_No', 'c_felony'})",frozenset({'risk_low'}),0.113,0.742
"frozenset({'priors_No', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),0.113,0.742
"frozenset({'juv_misd=0', 'Age (decade)_40'})",frozenset({'risk_low'}),0.105,0.742
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.22,0.741
"frozenset({'juv_fel=0', 'n_recidive', 'c_felony', 'male'})",frozenset({'risk_low'}),0.174,0.741
"frozenset({'priors_Few', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.115,0.74
"frozenset({'juv_fel=0', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.221,0.737
"frozenset({'juv_fel=0', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.237,0.736
"frozenset({'male', 'juv_fel=0', 'c_felony', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.133,0.736
frozenset({'Age (decade)_40'}),frozenset({'risk_low'}),0.105,0.733
"frozenset({'black', 'priors_Many', 'juv_misd=0'})",frozenset({'risk_high'}),0.103,0.733
"frozenset({'juv_fel=0', 'priors_Few', 'c_misdemeanor'})",frozenset({'risk_low'}),0.118,0.732
"frozenset({'priors_Many', 'c_felony'})",frozenset({'risk_high'}),0.127,0.731
"frozenset({'priors_Many', 'c_felony', 'male'})",frozenset({'risk_high'}),0.112,0.729
"frozenset({'juv_misd=0', 'c_felony', 'male', 'white'})",frozenset({'risk_low'}),0.134,0.729
"frozenset({'c_misdemeanor', 'juv_fel=0', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.178,0.728
"frozenset({'male', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.175,0.728
"frozenset({'priors_No', 'black', 'juv_fel=0'})",frozenset({'risk_low'}),0.103,0.727
"frozenset({'black', 'juv_fel=0', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.103,0.727
"frozenset({'priors_No', 'black'})",frozenset({'risk_low'}),0.103,0.727
"frozenset({'priors_No', 'black', 'juv_misd=0'})",frozenset({'risk_low'}),0.103,0.727
"frozenset({'c_felony', 'n_recidive'})",frozenset({'risk_low'}),0.223,0.726
"frozenset({'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.237,0.724
"frozenset({'juv_fel=0', 'c_felony', 'male', 'white'})",frozenset({'risk_low'}),0.135,0.723
frozenset({'priors_Many'}),frozenset({'risk_high'}),0.164,0.722
"frozenset({'priors_Few', 'c_misdemeanor'})",frozenset({'risk_low'}),0.119,0.722
"frozenset({'priors_Many', 'male'})",frozenset({'risk_high'}),0.145,0.72
"frozenset({'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.241,0.717
"frozenset({'juv_fel=0', 'c_felony', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.164,0.715
"frozenset({'c_felony', 'male', 'white'})",frozenset({'risk_low'}),0.136,0.713
"frozenset({'male', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.179,0.713
"frozenset({'priors_Many', 'juv_fel=0', 'c_felony'})",frozenset({'risk_high'}),0.11,0.711
"frozenset({'juv_misd=0', 'c_felony', 'white'})",frozenset({'risk_low'}),0.165,0.709
"frozenset({'juv_fel=0', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),0.182,0.708
"frozenset({'juv_fel=0', 'c_felony', 'white'})",frozenset({'risk_low'}),0.167,0.705
frozenset({'c_misdemeanor'}),frozenset({'risk_low'}),0.242,0.701
"frozenset({'priors_Many', 'juv_fel=0'})",frozenset({'risk_high'}),0.142,0.7
