antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Deterministic Reranking_support,Deterministic Reranking_confidence
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.129,0.829,0.154,0.99,,,0.136,0.871,0.129,0.829
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.102,0.828,0.122,0.996,,,0.114,0.93,0.102,0.828
"frozenset({'c_misdemeanor', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.129,0.821,0.155,0.986,,,0.136,0.866,0.129,0.821
"frozenset({'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.151,0.821,0.184,0.997,,,0.176,0.956,0.151,0.821
"frozenset({'male', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.102,0.817,0.124,0.991,,,0.115,0.922,0.102,0.817
"frozenset({'n_recidive', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.151,0.813,0.184,0.988,,,0.177,0.953,0.151,0.813
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.812,0.16,0.99,,,0.14,0.869,0.131,0.812
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.111,0.81,0.137,1.0,,,0.136,0.996,0.111,0.81
"frozenset({'juv_fel=0', 'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.153,0.806,0.189,0.991,,,0.182,0.954,0.153,0.806
"frozenset({'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.804,0.161,0.987,,,0.141,0.864,0.131,0.804
