antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'male', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.341,0.895,0.341,0.895
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.226,0.893,0.226,0.893
"frozenset({'n_white', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.225,0.893,0.225,0.893
"frozenset({'male', 'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.264,0.89,0.264,0.89
"frozenset({'white', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.223,0.89,0.223,0.89
"frozenset({'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.344,0.888,0.344,0.888
"frozenset({'male', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.21,0.888,0.21,0.888
"frozenset({'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.29,0.887,0.29,0.887
"frozenset({'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.299,0.885,0.299,0.885
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.211,0.882,0.211,0.882
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.235,0.88,0.235,0.88
"frozenset({'n_white', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.23,0.878,0.23,0.878
"frozenset({'male', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.272,0.878,0.272,0.878
"frozenset({'male', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.223,0.876,0.223,0.876
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.229,0.874,0.229,0.874
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.219,0.871,0.219,0.871
frozenset({'c_misdemeanor'}),frozenset({'risk_low'}),,,,,,,,,0.301,0.867,0.301,0.867
"frozenset({'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.358,0.865,0.358,0.865
"frozenset({'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.779,0.863,0.779,0.863
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.24,0.858,0.24,0.858
"frozenset({'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.284,0.853,0.284,0.853
"frozenset({'male', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.231,0.852,0.231,0.852
"frozenset({'male', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.611,0.852,0.611,0.852
frozenset({'Age (decade)_20.0'}),frozenset({'risk_low'}),,,,,,,,,0.37,0.85,0.37,0.85
frozenset({'juv_misd=0'}),frozenset({'risk_low'}),,,,,,,,,0.791,0.848,0.791,0.848
"frozenset({'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.25,0.842,0.25,0.842
"frozenset({'c_felony', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.49,0.841,0.49,0.841
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.226,0.841,0.226,0.841
frozenset({'juv_fel=0'}),frozenset({'risk_low'}),,,,,,,,,0.807,0.84,0.807,0.84
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.294,0.835,0.294,0.835
"frozenset({'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.622,0.835,0.622,0.835
"frozenset({'male', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.206,0.83,0.206,0.83
"frozenset({'male', 'c_felony', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.389,0.829,0.389,0.829
"frozenset({'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.501,0.827,0.501,0.827
"frozenset({'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.634,0.827,0.634,0.827
"frozenset({'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.237,0.823,0.237,0.823
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.418,0.821,0.418,0.821
"frozenset({'Age (decade)_30.0', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.206,0.821,0.206,0.821
"frozenset({'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.507,0.816,0.507,0.816
"frozenset({'male', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.399,0.813,0.399,0.813
frozenset({'male'}),frozenset({'risk_low'}),,,,,,,,,0.648,0.805,0.648,0.805
"frozenset({'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.429,0.803,0.429,0.803
"frozenset({'n_white', 'male', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.331,0.803,0.331,0.803
"frozenset({'male', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.405,0.802,0.405,0.802
