antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'juv_misd=0', 'juv_fel=0', 'white'})",frozenset({'risk_low'}),,,0.38,0.966,,,0.325,0.825,0.36,0.916
"frozenset({'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.395,0.966,,,0.331,0.809,0.371,0.907
"frozenset({'male', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),,,0.299,0.965,,,0.268,0.864,0.282,0.909
"frozenset({'priors_Few', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.164,0.965,,,0.159,0.936,0.17,0.997
"frozenset({'male', 'white'})",frozenset({'risk_low'}),,,0.311,0.965,,,0.273,0.845,0.29,0.899
"frozenset({'male', 'c_felony', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.247,0.964,,,0.244,0.953,0.256,0.998
"frozenset({'c_felony', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.305,0.964,,,0.293,0.925,0.316,0.998
"frozenset({'male', 'priors_Few', 'n_white', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.205,0.962,,,0.214,1.0,0.214,1.0
"frozenset({'c_felony', 'n_recidive', 'n_white'})",frozenset({'risk_low'}),,,0.159,0.961,,,0.166,1.0,,
frozenset({'white'}),frozenset({'risk_low'}),,,0.398,0.961,,,,,0.373,0.901
"frozenset({'n_recidive', 'n_white'})",frozenset({'risk_low'}),,,0.251,0.961,,,0.262,1.0,0.23,0.878
"frozenset({'juv_misd=0', 'white'})",frozenset({'risk_low'}),,,0.383,0.961,,,0.325,0.815,0.363,0.909
"frozenset({'juv_misd=0', 'priors_Few', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.251,0.961,,,0.261,1.0,0.261,1.0
"frozenset({'male', 'priors_Few'})",frozenset({'risk_low'}),,,0.393,0.96,,,0.39,0.952,0.409,0.997
frozenset({'priors_Few'}),frozenset({'risk_low'}),,,0.485,0.959,,,0.466,0.923,0.504,0.998
"frozenset({'priors_Few', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.168,0.957,,,0.176,1.0,0.176,1.0
"frozenset({'male', 'c_felony', 'priors_Few'})",frozenset({'risk_low'}),,,0.262,0.956,,,0.257,0.941,0.273,0.998
"frozenset({'c_felony', 'priors_Few'})",frozenset({'risk_low'}),,,0.32,0.956,,,0.307,0.916,0.334,0.998
"frozenset({'male', 'juv_fel=0', 'white', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.178,0.956,,,0.157,0.845,0.17,0.913
"frozenset({'male', 'priors_Few', 'juv_fel=0', 'recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.177,0.956,,,0.174,0.941,0.184,0.997
"frozenset({'male', 'white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.185,0.955,,,0.158,0.813,0.175,0.899
"frozenset({'male', 'priors_Few', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.218,0.955,,,0.229,1.0,0.229,1.0
"frozenset({'male', 'n_recidive', 'n_white'})",frozenset({'risk_low'}),,,0.192,0.954,,,0.201,1.0,0.171,0.852
"frozenset({'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.312,0.954,,,0.306,0.935,0.29,0.887
"frozenset({'c_felony', 'priors_Few', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.178,0.953,,,0.186,1.0,0.186,1.0
"frozenset({'priors_Few', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.265,0.953,,,0.278,1.0,0.278,1.0
"frozenset({'priors_Few', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.257,0.952,,,0.27,1.0,0.27,1.0
"frozenset({'recidive', 'priors_Few', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.211,0.951,,,0.203,0.912,0.222,0.998
"frozenset({'male', 'priors_Few', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.211,0.951,,,0.222,1.0,0.222,1.0
"frozenset({'male', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.242,0.951,,,0.244,0.962,0.223,0.876
"frozenset({'white', 'juv_misd=0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.226,0.95,,,,,0.216,0.907
"frozenset({'white', 'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.235,0.95,,,,,0.222,0.897
"frozenset({'male', 'priors_Few', 'juv_fel=0', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.152,0.949,,,0.15,0.936,0.16,1.0
"frozenset({'male', 'recidive', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.192,0.949,,,0.188,0.928,0.202,0.997
"frozenset({'male', 'juv_misd=0', 'white', 'c_felony'})",frozenset({'risk_low'}),,,0.18,0.949,,,0.157,0.829,0.171,0.903
"frozenset({'male', 'c_felony', 'white'})",frozenset({'risk_low'}),,,0.188,0.948,,,,,0.176,0.89
"frozenset({'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.32,0.947,,,0.317,0.938,0.299,0.885
"frozenset({'recidive', 'priors_Few', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.155,0.947,,,,,0.164,1.0
"frozenset({'male', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.248,0.944,,,0.254,0.967,0.229,0.874
"frozenset({'male', 'recidive', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.183,0.944,,,0.181,0.933,0.193,0.997
"frozenset({'c_felony', 'priors_Few', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.174,0.944,,,0.184,1.0,0.184,1.0
"frozenset({'juv_misd=0', 'n_white', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.156,0.944,,,0.165,1.0,,
"frozenset({'c_felony', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.228,0.944,,,,,0.217,0.899
"frozenset({'recidive', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.228,0.944,,,0.218,0.901,0.241,0.998
"frozenset({'c_felony', 'white'})",frozenset({'risk_low'}),,,0.237,0.944,,,,,0.223,0.89
"frozenset({'juv_misd=0', 'priors_Few', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.189,0.943,,,0.176,0.876,0.201,1.0
"frozenset({'recidive', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.218,0.942,,,0.21,0.907,0.231,0.998
"frozenset({'male', 'priors_Few', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.17,0.94,,,0.166,0.922,0.18,1.0
"frozenset({'female', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.176,0.939,,,0.156,0.832,0.169,0.902
"frozenset({'male', 'priors_Few', 'n_white'})",frozenset({'risk_low'}),,,0.224,0.939,,,0.239,1.0,0.239,1.0
"frozenset({'juv_misd=0', 'female', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.175,0.939,,,0.154,0.831,0.168,0.904
"frozenset({'male', 'priors_Few', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.158,0.939,,,0.157,0.932,0.168,1.0
"frozenset({'priors_Few', 'n_white'})",frozenset({'risk_low'}),,,0.272,0.938,,,0.29,1.0,0.29,1.0
"frozenset({'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,0.199,0.936,,,0.196,0.921,0.212,0.997
"frozenset({'priors_Few', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.196,0.935,,,0.183,0.876,0.209,1.0
"frozenset({'priors_Few', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.209,0.934,,,0.194,0.869,0.223,1.0
"frozenset({'c_felony', 'priors_Few', 'n_white'})",frozenset({'risk_low'}),,,0.184,0.934,,,0.197,1.0,0.197,1.0
"frozenset({'male', 'c_felony', 'priors_Few', 'n_white'})",frozenset({'risk_low'}),,,0.153,0.934,,,0.164,1.0,0.164,1.0
"frozenset({'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.842,0.933,,,0.834,0.924,0.779,0.863
"frozenset({'female', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.18,0.933,,,0.16,0.829,0.172,0.893
"frozenset({'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,0.235,0.931,,,0.227,0.897,0.252,0.998
"frozenset({'male', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.668,0.931,,,0.68,0.948,0.611,0.852
frozenset({'female'}),frozenset({'risk_low'}),,,0.182,0.931,,,0.162,0.831,0.174,0.892
frozenset({'c_misdemeanor'}),frozenset({'risk_low'}),,,0.323,0.93,,,0.325,0.936,0.301,0.867
"frozenset({'white', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.163,0.929,,,,,,
"frozenset({'recidive', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,0.161,0.928,,,0.153,0.881,0.173,1.0
"frozenset({'Age (decade)_20.0', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.345,0.926,,,0.332,0.89,0.335,0.898
"frozenset({'male', 'priors_Few', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.176,0.926,,,0.175,0.92,0.19,1.0
"frozenset({'white', 'recidive', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.151,0.924,,,,,,
"frozenset({'juv_misd=0', 'n_white', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.157,0.923,,,0.17,1.0,,
"frozenset({'male', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.25,0.922,,,0.262,0.964,0.231,0.852
"frozenset({'recidive', 'white'})",frozenset({'risk_low'}),,,0.166,0.922,,,,,0.151,0.84
"frozenset({'priors_Few', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.216,0.921,,,0.204,0.87,0.234,1.0
frozenset({'juv_misd=0'}),frozenset({'risk_low'}),,,0.857,0.919,,,0.859,0.921,0.791,0.848
"frozenset({'c_felony', 'priors_Few', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.152,0.918,,,,,0.165,1.0
"frozenset({'male', 'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.272,0.918,,,0.275,0.929,0.264,0.89
"frozenset({'recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.154,0.916,,,,,,
"frozenset({'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.354,0.915,,,0.344,0.888,0.344,0.888
"frozenset({'c_felony', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.533,0.914,,,0.534,0.916,0.49,0.841
frozenset({'juv_fel=0'}),frozenset({'risk_low'}),,,0.878,0.914,,,0.882,0.919,0.807,0.84
"frozenset({'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.681,0.913,,,0.703,0.943,0.622,0.835
"frozenset({'male', 'juv_misd=0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.428,0.912,,,0.441,0.939,0.389,0.829
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.231,0.912,,,0.224,0.884,0.226,0.893
"frozenset({'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.698,0.91,,,0.722,0.941,0.634,0.827
"frozenset({'juv_misd=0', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.217,0.909,,,0.239,1.0,0.211,0.882
"frozenset({'n_white', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.16,0.908,,,0.177,1.0,0.15,0.85
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.462,0.907,,,0.509,1.0,0.418,0.821
"frozenset({'male', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.28,0.904,,,0.287,0.925,0.272,0.878
"frozenset({'male', 'juv_misd=0', 'Age (decade)_30.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.173,0.904,,,0.182,0.952,0.154,0.805
"frozenset({'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.373,0.903,,,0.366,0.885,0.358,0.865
"frozenset({'male', 'juv_fel=0', 'juv_misd=0', 'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.186,0.903,,,0.19,0.919,0.183,0.887
"frozenset({'Age (decade)_30.0', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.227,0.903,,,0.236,0.94,0.206,0.821
