antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.861,0.202,0.861
"frozenset({'white', 'n_recidive', 'juv_fel=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.859,0.202,0.859
"frozenset({'white', 'n_recidive', 'juv_misd=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.859,0.202,0.859
"frozenset({'white', 'juv_fel=0', 'priors_No', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.858,0.121,0.858
"frozenset({'white', 'priors_No', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.858,0.121,0.858
"frozenset({'white', 'n_recidive', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.203,0.858,0.203,0.858
"frozenset({'Age (decade)_0.0', 'juv_misd=0', 'white', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.858,0.121,0.858
"frozenset({'white', 'priors_No', 'juv_misd=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.858,0.121,0.858
"frozenset({'priors_No', 'n_recidive', 'juv_misd=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.164,0.851,0.164,0.851
"frozenset({'n_recidive', 'juv_fel=0', 'priors_No', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.164,0.851,0.164,0.851
"frozenset({'n_recidive', 'priors_No', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.164,0.851,0.164,0.851
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.164,0.851,0.164,0.851
"frozenset({'Age (decade)_0.0', 'n_recidive', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.846,0.113,0.846
"frozenset({'n_recidive', 'priors_No', 'male', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.846,0.113,0.846
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.846,0.113,0.846
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'male', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.846,0.113,0.846
"frozenset({'Age (decade)_0.0', 'juv_misd=0', 'white', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.128,0.84,0.128,0.84
"frozenset({'white', 'juv_misd=0', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.128,0.84,0.128,0.84
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.837,0.108,0.837
"frozenset({'white', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.133,0.836,0.133,0.836
"frozenset({'white', 'juv_fel=0', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.132,0.836,0.132,0.836
"frozenset({'Age (decade)_0.0', 'n_recidive', 'white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.833,0.108,0.833
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.833,0.108,0.833
"frozenset({'white', 'n_recidive', 'c_felony', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.83,0.108,0.83
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.116,0.826,0.116,0.826
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.116,0.826,0.116,0.826
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.159,0.824,0.159,0.824
"frozenset({'n_recidive', 'juv_misd=0', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.159,0.824,0.159,0.824
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_fel=0', 'juv_misd=0', 'white', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.818,0.107,0.818
"frozenset({'n_recidive', 'priors_Many', 'juv_misd=0', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.818,0.107,0.818
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_fel=0', 'white', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.816,0.108,0.816
"frozenset({'white', 'n_recidive', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.816,0.108,0.816
"frozenset({'white', 'n_recidive', 'priors_Many', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.815,0.107,0.815
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.815,0.107,0.815
"frozenset({'white', 'n_recidive', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.813,0.108,0.813
"frozenset({'white', 'n_recidive', 'priors_Many', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.813,0.108,0.813
"frozenset({'Age (decade)_0.0', 'n_recidive', 'male', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.811,0.117,0.811
"frozenset({'n_recidive', 'juv_fel=0', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.16,0.808,0.16,0.808
"frozenset({'n_recidive', 'male', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.803,0.117,0.803
"frozenset({'n_recidive', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.16,0.802,0.16,0.802
"frozenset({'Age (decade)_0.0', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.802,0.222,0.802
"frozenset({'priors_No', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.802,0.222,0.802
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.221,0.802,0.221,0.802
"frozenset({'priors_No', 'juv_misd=0', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.221,0.802,0.221,0.802
