antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.102,0.862,0.106,0.894,0.111,0.936,0.104,0.881,0.104,0.876,,
"frozenset({'juv_misd=0', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.198,0.861,0.215,0.932,0.228,0.988,0.211,0.918,0.215,0.934,,
"frozenset({'white', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),0.199,0.86,0.215,0.928,0.228,0.984,0.212,0.914,0.215,0.928,,
"frozenset({'juv_misd=0', 'white', 'n_recidive'})",frozenset({'risk_low'}),0.198,0.859,0.215,0.93,0.228,0.986,0.211,0.915,0.215,0.932,,
"frozenset({'c_misdemeanor', 'male', 'juv_fel=0', 'white'})",frozenset({'risk_low'}),0.104,0.857,0.108,0.888,0.112,0.92,0.106,0.875,0.106,0.871,,
"frozenset({'white', 'n_recidive'})",frozenset({'risk_low'}),0.2,0.856,0.216,0.926,0.228,0.977,0.212,0.907,0.215,0.921,,
"frozenset({'n_recidive', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.157,0.853,0.182,0.985,0.184,1.0,0.179,0.974,0.18,0.979,,
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.157,0.853,0.182,0.985,0.184,1.0,0.179,0.974,0.18,0.979,,
"frozenset({'juv_misd=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.157,0.853,0.182,0.985,0.184,1.0,0.179,0.974,0.18,0.979,,
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.157,0.853,0.182,0.985,0.184,1.0,0.179,0.974,0.18,0.979,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'white'})",frozenset({'risk_low'}),0.102,0.848,0.107,0.883,0.111,0.919,0.105,0.865,0.104,0.857,,
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.108,0.844,0.118,0.92,0.126,0.983,0.115,0.899,0.119,0.928,,
"frozenset({'c_felony', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.108,0.844,0.118,0.92,0.126,0.983,0.115,0.899,0.119,0.928,,
"frozenset({'juv_misd=0', 'n_recidive', 'white', 'c_felony'})",frozenset({'risk_low'}),0.108,0.844,0.118,0.92,0.126,0.983,0.115,0.899,0.119,0.928,,
"frozenset({'white', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.107,0.843,0.118,0.923,0.127,1.0,0.114,0.898,0.117,0.919,,
"frozenset({'juv_misd=0', 'white', 'priors_No'})",frozenset({'risk_low'}),0.107,0.843,0.118,0.923,0.127,1.0,0.114,0.898,0.117,0.919,,
"frozenset({'juv_misd=0', 'white', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.107,0.843,0.118,0.923,0.127,1.0,0.114,0.898,0.117,0.919,,
"frozenset({'white', 'priors_No'})",frozenset({'risk_low'}),0.107,0.843,0.118,0.923,0.127,1.0,0.114,0.898,0.117,0.919,,
"frozenset({'c_felony', 'white', 'n_recidive'})",frozenset({'risk_low'}),0.108,0.84,0.119,0.92,0.126,0.979,0.115,0.895,0.119,0.924,,
"frozenset({'white', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),0.105,0.84,0.109,0.874,0.112,0.896,0.107,0.853,0.106,0.844,,
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.139,0.839,0.144,0.872,0.157,0.951,0.146,0.885,0.148,0.895,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.13,0.833,0.139,0.892,0.147,0.944,0.14,0.896,0.139,0.892,,
"frozenset({'juv_misd=0', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.831,0.185,0.963,0.192,1.0,0.184,0.955,0.185,0.963,,
"frozenset({'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.831,0.185,0.963,0.192,1.0,0.184,0.955,0.185,0.963,,
"frozenset({'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.831,0.185,0.963,0.192,1.0,0.184,0.955,0.185,0.963,,
"frozenset({'juv_misd=0', 'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.831,0.185,0.963,0.192,1.0,0.184,0.955,0.185,0.963,,
"frozenset({'juv_misd=0', 'white', 'male', 'priors_Few'})",frozenset({'risk_low'}),0.14,0.83,0.145,0.862,0.158,0.936,0.147,0.875,0.148,0.878,,
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),0.105,0.829,0.125,0.983,0.126,0.991,0.125,0.983,0.126,0.996,,
"frozenset({'white', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.141,0.828,0.147,0.866,0.158,0.93,0.149,0.876,0.15,0.882,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.112,0.824,0.132,0.972,0.135,0.996,0.131,0.964,0.131,0.964,,
"frozenset({'n_recidive', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),0.106,0.824,0.127,0.983,0.128,0.992,0.127,0.983,0.128,0.992,,
"frozenset({'juv_misd=0', 'white', 'c_misdemeanor'})",frozenset({'risk_low'}),0.131,0.823,0.14,0.884,0.148,0.932,0.14,0.884,0.139,0.877,,
"frozenset({'n_white', 'priors_Many', 'recidive'})",frozenset({'risk_high'}),0.102,0.822,,,,,,,,,,
"frozenset({'white', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.132,0.822,0.141,0.879,0.149,0.923,0.143,0.889,0.142,0.882,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),0.15,0.819,0.177,0.97,0.182,0.997,0.177,0.967,0.177,0.967,,
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.201,0.819,0.236,0.962,0.245,1.0,0.236,0.962,0.236,0.962,,
"frozenset({'juv_misd=0', 'white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.172,0.817,0.177,0.84,0.199,0.948,0.18,0.858,0.182,0.866,,
"frozenset({'white', 'male', 'priors_Few'})",frozenset({'risk_low'}),0.143,0.817,0.149,0.854,0.159,0.91,0.15,0.86,0.15,0.86,,
"frozenset({'juv_misd=0', 'priors_Few', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.159,0.817,0.188,0.961,0.195,1.0,0.189,0.967,0.189,0.967,,
"frozenset({'juv_misd=0', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),0.202,0.814,0.238,0.963,0.248,1.0,0.238,0.963,0.238,0.963,,
"frozenset({'c_misdemeanor', 'male', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),0.113,0.812,0.134,0.969,0.138,0.992,0.133,0.961,0.133,0.957,,
"frozenset({'juv_misd=0', 'n_recidive', 'Age (decade)_30.0'})",frozenset({'risk_low'}),0.106,0.812,0.128,0.983,0.129,0.992,0.128,0.983,0.13,0.996,,
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'priors_Few'})",frozenset({'risk_low'}),0.16,0.81,0.19,0.962,0.197,1.0,0.191,0.967,0.191,0.967,,
"frozenset({'juv_misd=0', 'white', 'priors_Few'})",frozenset({'risk_low'}),0.173,0.81,0.178,0.832,0.2,0.937,0.182,0.85,0.182,0.853,,
"frozenset({'white', 'c_misdemeanor'})",frozenset({'risk_low'}),0.133,0.809,0.143,0.868,0.149,0.905,0.144,0.872,0.142,0.862,,
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.128,0.809,0.152,0.959,0.159,1.0,0.152,0.959,0.153,0.966,,
"frozenset({'n_recidive', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.151,0.808,0.18,0.965,0.185,0.991,0.179,0.962,0.179,0.959,,
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.292,0.808,0.351,0.971,0.359,0.994,0.351,0.971,0.352,0.974,,
"frozenset({'juv_misd=0', 'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.232,0.808,0.241,0.84,0.26,0.906,0.24,0.836,0.244,0.849,,
"frozenset({'juv_misd=0', 'n_recidive', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),0.13,0.807,0.154,0.959,0.16,1.0,0.154,0.959,0.155,0.966,,
"frozenset({'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.202,0.805,0.241,0.963,0.25,1.0,0.241,0.963,0.241,0.961,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.112,0.805,0.134,0.969,0.138,0.992,0.133,0.961,0.133,0.961,,
"frozenset({'juv_misd=0', 'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.15,0.805,0.18,0.968,0.185,0.994,0.179,0.965,0.179,0.965,,
"frozenset({'white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.174,0.805,0.18,0.832,0.201,0.927,0.184,0.852,0.185,0.855,,
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.103,0.802,,,0.119,0.924,0.105,0.814,0.108,0.84,,
"frozenset({'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.235,0.801,0.244,0.832,0.261,0.889,0.243,0.827,0.247,0.839,,
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.16,0.8,0.193,0.962,0.201,1.0,0.194,0.968,0.193,0.965,,
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.136,1.0,0.136,1.0
"frozenset({'n_white', 'c_misdemeanor', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.143,1.0,0.143,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.124,1.0,0.124,1.0
"frozenset({'n_white', 'juv_misd=0', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.126,1.0,0.126,1.0
"frozenset({'n_white', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.128,1.0,0.128,1.0
"frozenset({'n_white', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.132,1.0,0.132,1.0
"frozenset({'n_white', 'juv_misd=0', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.166,1.0,0.166,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'n_recidive', 'male', 'n_white'})",frozenset({'risk_low'}),,,,,,,,,0.101,1.0,0.101,1.0
"frozenset({'priors_Few', 'n_recidive', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.104,1.0,0.104,1.0
"frozenset({'n_white', 'n_recidive', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.106,1.0,0.106,1.0
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.13,1.0,0.13,1.0
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'male', 'n_white'})",frozenset({'risk_low'}),,,,,,,,,0.133,1.0,0.133,1.0
"frozenset({'c_felony', 'n_recidive', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.135,1.0,0.135,1.0
"frozenset({'n_white', 'c_felony', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.139,1.0,0.139,1.0
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.168,1.0,0.168,1.0
"frozenset({'n_white', 'juv_misd=0', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.172,1.0,0.172,1.0
"frozenset({'n_white', 'c_felony', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.173,1.0,0.173,1.0
"frozenset({'n_white', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.178,1.0,0.178,1.0
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.191,1.0,0.191,1.0
"frozenset({'n_white', 'juv_misd=0', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.197,1.0,0.197,1.0
"frozenset({'n_white', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.198,1.0,0.198,1.0
"frozenset({'n_white', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.205,1.0,0.205,1.0
"frozenset({'n_white', 'juv_misd=0', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.249,1.0,0.249,1.0
"frozenset({'n_white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.256,1.0,0.256,1.0
"frozenset({'n_white', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.256,1.0,0.256,1.0
"frozenset({'n_white', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.264,1.0,0.264,1.0
"frozenset({'n_white', 'juv_misd=0', 'n_recidive', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.101,1.0,0.101,1.0
"frozenset({'n_white', 'n_recidive', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.104,1.0,0.104,1.0
"frozenset({'n_white', 'Age (decade)_20.0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.107,1.0,0.107,1.0
"frozenset({'n_white', 'juv_misd=0', 'priors_Many', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.105,1.0,0.105,1.0
"frozenset({'n_white', 'c_felony', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.105,1.0,0.105,1.0
"frozenset({'n_white', 'c_felony', 'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.112,1.0,0.112,1.0
"frozenset({'n_white', 'priors_Many', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.122,1.0,0.122,1.0
"frozenset({'juv_misd=0', 'male', 'n_white', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.114,1.0,0.114,1.0
"frozenset({'n_white', 'juv_misd=0', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.127,1.0,0.127,1.0
"frozenset({'n_white', 'male', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.13,1.0,0.13,1.0
"frozenset({'priors_Few', 'c_felony', 'male', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.104,1.0,0.104,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.126,1.0,0.126,1.0
"frozenset({'juv_misd=0', 'recidive', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.131,1.0,0.131,1.0
"frozenset({'juv_misd=0', 'male', 'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.143,1.0,0.143,1.0
"frozenset({'juv_fel=0', 'male', 'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.144,1.0,0.144,1.0
"frozenset({'n_white', 'Age (decade)_20.0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.159,1.0,0.159,1.0
"frozenset({'juv_misd=0', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.204,1.0,0.204,1.0
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.218,1.0,0.218,1.0
"frozenset({'n_white', 'Age (decade)_20.0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.223,1.0,0.223,1.0
"frozenset({'n_white', 'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.241,1.0,0.241,1.0
"frozenset({'juv_misd=0', 'c_felony', 'male', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.16,1.0,0.16,1.0
"frozenset({'c_felony', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.162,1.0,0.162,1.0
"frozenset({'n_white', 'c_felony', 'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.178,1.0,0.178,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.112,1.0,0.112,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.122,1.0,0.122,1.0
"frozenset({'priors_Few', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.124,1.0,0.124,1.0
"frozenset({'n_white', 'Age (decade)_20.0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.135,1.0,0.135,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'recidive', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.114,1.0,0.114,1.0
"frozenset({'priors_Few', 'juv_fel=0', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.124,1.0,0.124,1.0
"frozenset({'n_white', 'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.137,1.0,0.137,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.212,1.0,0.212,1.0
"frozenset({'n_white', 'juv_misd=0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.227,1.0,0.227,1.0
"frozenset({'n_white', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.227,1.0,0.227,1.0
"frozenset({'n_white', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.243,1.0,0.243,1.0
"frozenset({'c_felony', 'recidive', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.107,1.0,0.107,1.0
"frozenset({'juv_misd=0', 'c_felony', 'male', 'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.107,1.0,0.107,1.0
"frozenset({'c_felony', 'male', 'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.121,1.0,0.121,1.0
"frozenset({'juv_misd=0', 'c_felony', 'male', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.147,1.0,0.147,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.144,1.0,0.144,1.0
"frozenset({'priors_Few', 'c_felony', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.155,1.0,0.155,1.0
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'n_white'})",frozenset({'risk_low'}),,,,,,,,,0.157,1.0,0.157,1.0
"frozenset({'n_white', 'c_felony', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.169,1.0,0.169,1.0
"frozenset({'n_white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.46,0.999,0.46,0.999
"frozenset({'n_white', 'juv_misd=0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.43,0.999,0.43,0.999
"frozenset({'n_white', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.347,0.998,0.347,0.998
"frozenset({'n_white', 'juv_misd=0', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.319,0.998,0.319,0.998
"frozenset({'n_white', 'c_felony', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.317,0.998,0.317,0.998
"frozenset({'juv_misd=0', 'c_felony', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.295,0.998,0.295,0.998
"frozenset({'n_white', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.289,0.998,0.289,0.998
"frozenset({'n_white', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.273,0.998,0.273,0.998
"frozenset({'n_white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.272,0.998,0.272,0.998
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.268,0.998,0.268,0.998
"frozenset({'n_white', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.527,0.998,0.527,0.998
"frozenset({'n_white', 'recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.262,0.998,0.262,0.998
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.257,0.998,0.257,0.998
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.253,0.998,0.253,0.998
"frozenset({'juv_misd=0', 'juv_fel=0', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.24,0.998,0.24,0.998
"frozenset({'n_white', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.461,0.998,0.461,0.998
"frozenset({'n_white', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.211,0.997,0.211,0.997
"frozenset({'n_white', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.416,0.997,0.416,0.997
"frozenset({'n_white', 'c_felony', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.208,0.997,0.208,0.997
"frozenset({'n_white', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.205,0.997,0.205,0.997
"frozenset({'n_white', 'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.193,0.997,0.193,0.997
"frozenset({'n_white', 'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.386,0.997,0.386,0.997
"frozenset({'n_white', 'juv_misd=0', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.192,0.997,0.192,0.997
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.192,0.997,0.192,0.997
"frozenset({'n_white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.384,0.997,0.384,0.997
"frozenset({'n_white', 'c_felony', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.19,0.997,0.19,0.997
"frozenset({'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.559,0.997,0.559,0.997
"frozenset({'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.558,0.997,0.558,0.997
"frozenset({'juv_misd=0', 'c_felony', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.185,0.997,0.185,0.997
"frozenset({'c_felony', 'juv_fel=0', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.182,0.997,0.182,0.997
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.361,0.997,0.361,0.997
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.179,0.997,0.179,0.997
