antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'n_married', 'white'})",frozenset({'<50K'}),0.398,0.931,0.351,0.823,0.348,0.816,0.414,0.969
"frozenset({'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.366,0.931,0.323,0.821,0.32,0.813,0.381,0.969
"frozenset({'Age (decade)_20.0', 'white'})",frozenset({'<50K'}),0.193,0.93,0.176,0.848,0.17,0.817,0.2,0.962
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.175,0.929,0.159,0.844,0.152,0.808,0.181,0.959
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.142,0.922,0.137,0.89,0.134,0.871,0.145,0.944
"frozenset({'male', 'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.124,0.921,0.118,0.882,0.116,0.863,0.126,0.938
"frozenset({'male', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.12,0.917,0.115,0.88,0.112,0.862,0.123,0.94
"frozenset({'male', 'UnitedStates', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.108,0.916,0.103,0.873,0.101,0.855,0.11,0.934
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.912,0.207,0.9,0.204,0.887,0.217,0.944
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.912,0.231,0.902,0.227,0.887,0.242,0.945
"frozenset({'Age (decade)_30.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.103,0.91,,,,,0.109,0.967
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.114,0.908,0.101,0.801,0.101,0.805,0.122,0.967
"frozenset({'male', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.179,0.905,0.177,0.891,0.174,0.879,0.186,0.938
"frozenset({'male', 'n_married', 'white'})",frozenset({'<50K'}),0.195,0.905,0.193,0.892,0.19,0.878,0.203,0.939
frozenset({'female'}),frozenset({'<50K'}),0.29,0.895,,,,,0.324,1.0
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.26,0.893,,,,,0.292,1.0
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.227,0.882,,,,,0.258,1.0
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.209,0.881,,,,,0.237,1.0
frozenset({'n_white'}),frozenset({'<50K'}),0.127,0.858,,,,,0.133,0.896
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.272,0.84,,,,,0.298,0.92
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.25,0.835,,,,,0.275,0.918
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.222,0.821,,,,,0.247,0.913
"frozenset({'UnitedStates', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.209,0.819,,,,,0.233,0.911
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.183,0.809,,,,,0.198,0.875
"frozenset({'UnitedStates', 'education.num_10.0'})",frozenset({'<50K'}),0.169,0.808,,,,,0.182,0.871
