antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'n_married', 'white'})",frozenset({'<50K'}),0.398,0.931,0.38,0.891,0.359,0.841,0.417,0.976
"frozenset({'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.366,0.931,0.349,0.888,0.33,0.84,0.384,0.976
"frozenset({'Age (decade)_20.0', 'white'})",frozenset({'<50K'}),0.193,0.93,0.189,0.909,0.175,0.842,0.2,0.966
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.175,0.929,0.171,0.906,0.157,0.834,0.182,0.965
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.142,0.922,0.146,0.948,0.136,0.887,0.146,0.948
"frozenset({'male', 'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.124,0.921,0.127,0.944,0.118,0.879,0.127,0.944
"frozenset({'male', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.12,0.917,0.123,0.946,0.115,0.88,0.123,0.946
"frozenset({'male', 'UnitedStates', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.108,0.916,0.111,0.944,0.103,0.872,0.111,0.944
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.912,0.22,0.956,0.209,0.908,0.22,0.956
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.912,0.246,0.958,0.233,0.911,0.246,0.958
"frozenset({'Age (decade)_30.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.103,0.91,,,,,0.11,0.972
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.114,0.908,0.11,0.876,0.106,0.843,0.122,0.974
"frozenset({'male', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.179,0.905,0.189,0.952,0.178,0.899,0.189,0.952
"frozenset({'male', 'n_married', 'white'})",frozenset({'<50K'}),0.195,0.905,0.206,0.954,0.195,0.901,0.206,0.954
frozenset({'female'}),frozenset({'<50K'}),0.29,0.895,,,,,0.324,1.0
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.26,0.893,,,,,0.292,1.0
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.227,0.882,,,,,0.258,1.0
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.209,0.881,,,,,0.237,1.0
frozenset({'n_white'}),frozenset({'<50K'}),0.127,0.858,0.12,0.814,,,0.134,0.903
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.272,0.84,0.274,0.847,,,0.296,0.915
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.25,0.835,0.252,0.842,,,0.273,0.91
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.222,0.821,0.226,0.836,,,0.246,0.907
"frozenset({'UnitedStates', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.209,0.819,0.213,0.831,,,0.231,0.904
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.183,0.809,,,,,0.194,0.859
"frozenset({'UnitedStates', 'education.num_10.0'})",frozenset({'<50K'}),0.169,0.808,,,,,0.178,0.852
