antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'male', 'UnitedStates', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.108,0.916,0.11,0.935,0.104,0.884,0.108,0.916
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.912,0.213,0.929,0.21,0.914,0.211,0.916
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.912,0.238,0.929,0.234,0.915,0.235,0.917
"frozenset({'Age (decade)_30.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.103,0.91,,,,,0.108,0.954
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.114,0.908,0.111,0.88,0.105,0.836,0.119,0.949
"frozenset({'male', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.179,0.905,0.183,0.925,0.18,0.907,0.18,0.911
"frozenset({'male', 'n_married', 'white'})",frozenset({'<50K'}),0.195,0.905,0.2,0.927,0.196,0.908,0.197,0.913
frozenset({'female'}),frozenset({'<50K'}),0.29,0.895,0.266,0.822,,,0.324,1.0
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.26,0.893,0.239,0.819,,,0.292,1.0
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.227,0.882,0.208,0.805,,,0.258,1.0
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.209,0.881,0.19,0.802,,,0.237,1.0
frozenset({'n_white'}),frozenset({'<50K'}),0.127,0.858,0.123,0.833,,,0.127,0.858
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.272,0.84,0.286,0.883,,,0.291,0.9
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.25,0.835,0.265,0.884,,,0.269,0.899
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.222,0.821,0.237,0.876,,,0.242,0.895
"frozenset({'UnitedStates', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.209,0.819,0.224,0.878,,,0.229,0.895
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.183,0.809,0.19,0.84,,,0.19,0.841
"frozenset({'UnitedStates', 'education.num_10.0'})",frozenset({'<50K'}),0.169,0.808,0.175,0.841,,,0.175,0.841
