antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'n_married', 'UnitedStates', 'education.num_<6', 'male'})",frozenset({'<50K'}),,,,,,,,,0.202,0.911,0.202,0.911
"frozenset({'n_married', 'Age (decade)_0.0', 'education.num_<6', 'male'})",frozenset({'<50K'}),,,,,,,,,0.225,0.909,0.225,0.909
"frozenset({'n_married', 'Age (decade)_0.0', 'male'})",frozenset({'<50K'}),,,,,,,,,0.225,0.909,0.225,0.909
"frozenset({'n_married', 'education.num_<6', 'male'})",frozenset({'<50K'}),,,,,,,,,0.225,0.909,0.225,0.909
"frozenset({'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.3,0.89,0.3,0.89
"frozenset({'Age (decade)_0.0', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.3,0.89,0.3,0.89
"frozenset({'Age (decade)_0.0', 'female'})",frozenset({'<50K'}),,,,,,,,,0.3,0.89,0.3,0.89
"frozenset({'UnitedStates', 'Age (decade)_0.0', 'female'})",frozenset({'<50K'}),,,,,,,,,0.269,0.888,0.269,0.888
"frozenset({'UnitedStates', 'Age (decade)_0.0', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.269,0.888,0.269,0.888
"frozenset({'UnitedStates', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.269,0.888,0.269,0.888
"frozenset({'white', 'Age (decade)_0.0', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.237,0.881,0.237,0.881
"frozenset({'white', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.237,0.881,0.237,0.881
"frozenset({'white', 'Age (decade)_0.0', 'female'})",frozenset({'<50K'}),,,,,,,,,0.237,0.881,0.237,0.881
"frozenset({'white', 'UnitedStates', 'Age (decade)_0.0', 'female'})",frozenset({'<50K'}),,,,,,,,,0.217,0.881,0.217,0.881
"frozenset({'white', 'UnitedStates', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.217,0.881,0.217,0.881
"frozenset({'UnitedStates', 'white', 'Age (decade)_0.0', 'education.num_<6', 'female'})",frozenset({'<50K'}),,,,,,,,,0.217,0.881,0.217,0.881
