antecedents,consequents,orig_support,orig_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'female', 'white', 'UnitedStates'})",frozenset({'<50K'}),0.217,0.884,0.217,0.884,0.217,0.884,,
"frozenset({'female', 'white'})",frozenset({'<50K'}),0.236,0.884,0.236,0.884,0.236,0.884,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.271,0.843,,,,,,
"frozenset({'education.num_9.0', 'UnitedStates'})",frozenset({'<50K'}),0.251,0.839,,,,,,
frozenset({'n_white'}),frozenset({'<50K'}),0.126,0.839,0.126,0.839,0.126,0.839,,
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.225,0.829,,,,,,
"frozenset({'education.num_9.0', 'white', 'UnitedStates'})",frozenset({'<50K'}),0.212,0.826,,,,,,
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.181,0.802,,,,,,
"frozenset({'education.num_9.0', 'male'})",frozenset({'<50K'}),0.175,0.802,,,,,,
"frozenset({'female', 'n_married', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.239,0.955,0.239,0.955
"frozenset({'female', 'n_married', 'Age (decade)_0.0', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.239,0.955,0.239,0.955
"frozenset({'Age (decade)_0.0', 'UnitedStates', 'female', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.239,0.955,0.239,0.955
"frozenset({'female', 'Age (decade)_0.0', 'n_married'})",frozenset({'<50K'}),,,,,0.262,0.955,0.262,0.955
"frozenset({'female', 'Age (decade)_0.0', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.262,0.955,0.262,0.955
"frozenset({'female', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.262,0.955,0.262,0.955
"frozenset({'white', 'Age (decade)_0.0', 'UnitedStates', 'female', 'n_married'})",frozenset({'<50K'}),,,,,0.195,0.952,0.195,0.952
"frozenset({'white', 'Age (decade)_0.0', 'UnitedStates', 'female', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.195,0.952,0.195,0.952
"frozenset({'white', 'UnitedStates', 'female', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.195,0.952,0.195,0.952
"frozenset({'female', 'white', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.211,0.952,0.211,0.952
"frozenset({'white', 'Age (decade)_0.0', 'female', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.211,0.952,0.211,0.952
"frozenset({'female', 'white', 'Age (decade)_0.0', 'n_married'})",frozenset({'<50K'}),,,,,0.211,0.952,0.211,0.952
"frozenset({'UnitedStates', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.443,0.937,0.443,0.937
"frozenset({'n_married', 'Age (decade)_0.0', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.443,0.937,0.443,0.937
"frozenset({'UnitedStates', 'Age (decade)_0.0', 'n_married'})",frozenset({'<50K'}),,,,,0.443,0.937,0.443,0.937
"frozenset({'Age (decade)_0.0', 'n_married'})",frozenset({'<50K'}),,,,,0.489,0.936,0.489,0.936
"frozenset({'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.489,0.936,0.489,0.936
"frozenset({'Age (decade)_0.0', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.489,0.936,0.489,0.936
"frozenset({'n_married', 'white', 'Age (decade)_0.0', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.37,0.935,0.37,0.935
"frozenset({'white', 'Age (decade)_0.0', 'UnitedStates', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.37,0.935,0.37,0.935
"frozenset({'n_married', 'white', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.37,0.935,0.37,0.935
"frozenset({'white', 'Age (decade)_0.0', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.399,0.933,0.399,0.933
"frozenset({'white', 'Age (decade)_0.0', 'n_married'})",frozenset({'<50K'}),,,,,0.399,0.933,0.399,0.933
"frozenset({'white', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.399,0.933,0.399,0.933
"frozenset({'n_married', 'Age (decade)_0.0', 'male', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.204,0.918,0.204,0.918
"frozenset({'Age (decade)_0.0', 'male', 'UnitedStates', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.204,0.918,0.204,0.918
"frozenset({'n_married', 'education.num_<6', 'male', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.204,0.918,0.204,0.918
"frozenset({'Age (decade)_0.0', 'male', 'n_married'})",frozenset({'<50K'}),,,,,0.227,0.916,0.227,0.916
"frozenset({'education.num_<6', 'Age (decade)_0.0', 'male', 'n_married'})",frozenset({'<50K'}),,,,,0.227,0.916,0.227,0.916
"frozenset({'n_married', 'education.num_<6', 'male'})",frozenset({'<50K'}),,,,,0.227,0.916,0.227,0.916
"frozenset({'white', 'Age (decade)_0.0', 'male', 'UnitedStates', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.175,0.916,0.175,0.916
"frozenset({'white', 'male', 'UnitedStates', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.175,0.916,0.175,0.916
"frozenset({'white', 'Age (decade)_0.0', 'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),,,,,0.175,0.916,0.175,0.916
"frozenset({'white', 'Age (decade)_0.0', 'male', 'n_married'})",frozenset({'<50K'}),,,,,0.188,0.913,0.188,0.913
"frozenset({'white', 'Age (decade)_0.0', 'male', 'education.num_<6', 'n_married'})",frozenset({'<50K'}),,,,,0.188,0.913,0.188,0.913
"frozenset({'education.num_<6', 'white', 'male', 'n_married'})",frozenset({'<50K'}),,,,,0.188,0.913,0.188,0.913
"frozenset({'female', 'Age (decade)_0.0', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.265,0.893,0.265,0.893
"frozenset({'female', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.265,0.893,0.265,0.893
"frozenset({'female', 'Age (decade)_0.0', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.265,0.893,0.265,0.893
"frozenset({'female', 'Age (decade)_0.0'})",frozenset({'<50K'}),,,,,0.296,0.892,0.296,0.892
"frozenset({'female', 'Age (decade)_0.0', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.296,0.892,0.296,0.892
"frozenset({'female', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.296,0.892,0.296,0.892
"frozenset({'female', 'white', 'education.num_<6', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.217,0.884,0.217,0.884
"frozenset({'female', 'white', 'Age (decade)_0.0', 'UnitedStates'})",frozenset({'<50K'}),,,,,0.217,0.884,0.217,0.884
"frozenset({'white', 'Age (decade)_0.0', 'UnitedStates', 'female', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.217,0.884,0.217,0.884
"frozenset({'female', 'white', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.236,0.884,0.236,0.884
"frozenset({'female', 'white', 'Age (decade)_0.0', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.236,0.884,0.236,0.884
"frozenset({'female', 'white', 'Age (decade)_0.0'})",frozenset({'<50K'}),,,,,0.236,0.884,0.236,0.884
"frozenset({'n_white', 'Age (decade)_0.0'})",frozenset({'<50K'}),,,,,0.126,0.839,0.126,0.839
"frozenset({'n_white', 'Age (decade)_0.0', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.126,0.839,0.126,0.839
"frozenset({'n_white', 'education.num_<6'})",frozenset({'<50K'}),,,,,0.126,0.839,0.126,0.839
